REGION TYPE,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (no subtype),B,H3N2v,A (H5),CTR_A (2009 H1N1),CTR_A (H3),CTR_A_not_determined,CTR_B,CTR_H3N2v,CTR_A (H5)
National,1997,40,1291,0,0,0,0,0,0,0,0,0,0,0,0
National,1997,41,1513,0,0,11,0,0,0,0,0,0.007270324,0,0,0
National,1997,42,1552,0,3,13,1,0,0,0,0.00193299,0.008376289,0.00064433,0,0
National,1997,43,1669,0,0,7,0,0,0,0,0,0.004194128,0,0,0
National,1997,44,1897,0,9,1,0,0,0,0,0.004744333,0.000527148,0,0,0
National,1997,45,2106,0,0,6,0,0,0,0,0,0.002849003,0,0,0
National,1997,46,2204,0,3,4,1,0,0,0,0.001361162,0.001814882,0.000453721,0,0
National,1997,47,2533,0,5,17,1,0,0,0,0.001973944,0.006711409,0.000394789,0,0
National,1997,48,2242,0,14,22,1,0,0,0,0.006244425,0.009812667,0.00044603,0,0
National,1997,49,2607,0,11,28,1,0,0,0,0.004219409,0.010740315,0.000383583,0,0
National,1997,50,3086,0,37,59,2,0,0,0,0.011989631,0.0191186,0.000648088,0,0
National,1997,51,3410,0,84,159,0,0,0,0,0.024633431,0.046627566,0,0,0
National,1997,52,3349,0,111,311,0,0,0,0,0.033144222,0.092863541,0,0,0
National,1997,53,4402,0,161,627,1,0,0,0,0.036574284,0.142435257,0.000227169,0,0
National,1998,1,5294,0,211,808,3,0,0,0,0.039856441,0.152625614,0.000566679,0,0
National,1998,2,5501,0,281,863,4,0,0,0,0.051081622,0.156880567,0.000727141,0,0
National,1998,3,6196,0,453,1132,1,0,0,0,0.073111685,0.182698515,0.000161394,0,0
National,1998,4,6730,0,589,1299,1,0,0,0,0.087518574,0.193016345,0.000148588,0,0
National,1998,5,6288,0,413,1266,1,0,0,0,0.065680662,0.201335878,0.000159033,0,0
National,1998,6,5867,0,363,1061,5,0,0,0,0.061871485,0.180841998,0.000852224,0,0
National,1998,7,4904,0,226,757,4,0,0,0,0.046084829,0.154363785,0.000815661,0,0
National,1998,8,3975,0,93,469,4,0,0,0,0.023396226,0.117987421,0.001006289,0,0
National,1998,9,3169,0,63,241,3,0,0,0,0.019880088,0.076049227,0.000946671,0,0
National,1998,10,2658,0,47,149,6,0,0,0,0.017682468,0.056057186,0.002257336,0,0
National,1998,11,2234,0,30,86,5,0,0,0,0.013428827,0.038495971,0.002238138,0,0
National,1998,12,2048,0,12,66,6,0,0,0,0.005859375,0.032226563,0.002929688,0,0
National,1998,13,1683,0,11,29,7,0,0,0,0.006535948,0.017231135,0.004159239,0,0
National,1998,14,1532,0,6,22,6,0,0,0,0.003916449,0.014360313,0.003916449,0,0
National,1998,15,1357,0,0,27,12,0,0,0,0,0.019896831,0.008843036,0,0
National,1998,16,1421,0,1,16,4,0,0,0,0.00070373,0.011259676,0.002814919,0,0
