REGION TYPE,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v,A (H5),CTR_A (2009 H1N1),CTR_A (H3),CTR_A (Subtyping not Performed),CTR_B,CTR_BVic,CTR_BYam,CTR_H3N2v,CTR_A (H5)
National,2015,40,1139,4,65,2,10,0,1,0,0,0.003511853,0.057067603,0.001755926,0.008779631,0,0.000877963,0,0
National,2015,41,1152,5,41,2,7,3,0,0,0,0.004340278,0.035590278,0.001736111,0.006076389,0.002604167,0,0,0
National,2015,42,1198,10,50,1,8,3,2,0,0,0.008347245,0.041736227,0.000834725,0.006677796,0.002504174,0.001669449,0,0
National,2015,43,1244,9,31,4,9,1,4,0,0,0.007234727,0.024919614,0.003215434,0.007234727,0.000803859,0.003215434,0,0
National,2015,44,1465,4,23,4,9,1,4,0,0,0.002730375,0.015699659,0.002730375,0.006143345,0.000682594,0.002730375,0,0
National,2015,45,1393,11,34,1,10,4,2,0,0,0.007896626,0.024407753,0.000717875,0.007178751,0.0028715,0.00143575,0,0
National,2015,46,1458,17,42,1,4,0,4,0,0,0.011659808,0.028806584,0.000685871,0.002743484,0,0.002743484,0,0
National,2015,47,1157,17,24,0,4,3,9,0,0,0.014693172,0.020743302,0,0.003457217,0.002592913,0.007778738,0,0
National,2015,48,1550,27,36,3,9,3,12,0,0,0.017419355,0.023225806,0.001935484,0.005806452,0.001935484,0.007741935,0,0
National,2015,49,1518,38,37,3,11,2,11,0,0,0.025032938,0.024374177,0.001976285,0.007246377,0.001317523,0.007246377,0,0
National,2015,50,1475,69,39,0,10,4,19,0,0,0.046779661,0.026440678,0,0.006779661,0.002711864,0.012881356,0,0
National,2015,51,1245,89,33,1,12,3,28,0,0,0.071485944,0.026506024,0.000803213,0.009638554,0.002409639,0.02248996,0,0
National,2015,52,1485,146,56,1,13,9,35,0,0,0.098316498,0.037710438,0.000673401,0.008754209,0.006060606,0.023569024,0,0
National,2016,1,1841,232,68,2,14,12,52,0,0,0.126018468,0.036936448,0.001086366,0.007604563,0.006518197,0.028245519,0,0
National,2016,2,1748,256,89,5,47,23,60,0,0,0.146453089,0.050915332,0.002860412,0.026887872,0.013157895,0.034324943,0,0
National,2016,3,1946,361,100,13,45,25,83,0,0,0.185508736,0.051387461,0.00668037,0.023124358,0.012846865,0.042651593,0,0
