AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT I,NUM INFLUENZA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2021-22,40,0.0289985,20,"68,969",> 100%
National,,All,2021-22,41,0.0163151,11,"67,422",> 100%
National,,All,2021-22,42,0.0224138,15,"66,923",> 100%
National,,All,2021-22,43,0.0211095,14,"66,321",> 100%
National,,All,2021-22,44,0.0105273,7,"66,494",> 100%
National,,All,2021-22,45,0.0386198,26,"67,323",> 100%
National,,All,2021-22,46,0.0239474,16,"66,813",> 100%
National,,All,2021-22,47,0.0280153,19,"67,820",> 100%
National,,All,2021-22,48,0.0528413,37,"70,021",> 100%
National,,All,2021-22,49,0.0777951,56,"71,984",> 100%
National,,All,2021-22,50,0.0814881,58,"71,176",> 100%
National,,All,2021-22,51,0.119223,86,"72,134",> 100%
National,,All,2021-22,52,0.2047,152,"74,255",> 100%
National,,All,2021-22,1,0.235965,188,"79,673",> 100%
National,,All,2021-22,2,0.167157,142,"84,950",> 100%
National,,All,2021-22,3,0.175377,150,"85,530",> 100%
National,,All,2021-22,4,0.110666,94,"84,940",> 100%
National,,All,2021-22,5,0.109594,89,"81,209",> 100%
National,,All,2021-22,6,0.110194,85,"77,137",> 100%
National,,All,2021-22,7,0.0944926,67,"70,905",> 100%
National,,All,2021-22,8,0.0983894,65,"66,064",> 100%
National,,All,2021-22,9,0.0993542,64,"64,416",> 100%
National,,All,2021-22,10,0.105171,65,"61,804",> 100%
National,,All,2021-22,11,0.105738,64,"60,527",> 100%
National,,All,2021-22,12,0.14355,84,"58,516",> 100%
National,,All,2021-22,13,0.132779,77,"57,991",> 100%
National,,All,2021-22,14,0.164422,95,"57,778",> 100%
National,,All,2021-22,15,0.162706,94,"57,773",> 100%
National,,All,2021-22,16,0.187101,106,"56,654",> 100%
National,,All,2021-22,17,0.165884,95,"57,269",> 100%
National,,All,2021-22,18,0.142738,82,"57,448",> 100%
National,,All,2021-22,19,0.172861,100,"57,850",> 100%
National,,All,2021-22,20,0.154535,89,"57,592",> 100%
National,,All,2021-22,21,0.147299,84,"57,027",> 100%
National,,All,2021-22,22,0.144298,83,"57,520",> 100%
National,,All,2021-22,23,0.122414,71,"58,000",> 100%
National,,All,2021-22,24,0.128252,74,"57,699",> 100%
National,,All,2021-22,25,0.0618185,36,"58,235",> 100%
National,,All,2021-22,26,0.0689631,40,"58,002",> 100%
National,,All,2021-22,27,0.0602379,35,"58,103",> 100%
National,,All,2021-22,28,0.0291126,17,"58,394",> 100%
National,,All,2021-22,29,0.0401855,24,"59,723",> 100%
National,,All,2021-22,30,0.0391569,23,"58,738",> 100%
National,,All,2021-22,31,0.0270508,16,"59,148",> 100%
National,,All,2021-22,32,0.0256165,15,"58,556",> 100%
National,,All,2021-22,33,0.0342442,20,"58,404",> 100%
National,,All,2021-22,34,0.0240335,14,"58,252",> 100%
National,,All,2021-22,35,0.020675,12,"58,041",> 100%
National,,All,2021-22,36,0.0323923,19,"58,656",> 100%
