Year,Hemisphere,H1N1,H3N2,B (Trivalent)
2000,NH,A/New Caledonia/20/99,A/Moscow/10/99,B/Beijing/184/93
2000,SH,A/New Caledonia/20/99,A/Moscow/10/99,B/Shangdong/7/97
2001,NH,A/New Caledonia/20/99,A/Moscow/10/99,B/Sichuan/379/99
2001,SH,A/New Caledonia/20/99,A/Moscow/10/99,B/Sichuan/379/99
2002,NH,A/New Caledonia/20/99,A/Moscow/10/99,B/Hong Kong/330/2001
2002,SH,A/New Caledonia/20/99,A/Moscow/10/99,B/Sichuan/379/99
2003,NH,A/New Caledonia/20/99,A/Moscow/10/99,B/Hong Kong/330/2001
2003,SH,A/New Caledonia/20/99,A/Moscow/10/99,B/Hong Kong/330/2001
2004,NH,A/New Caledonia/20/99,A/Fujian/411/2002,B/Shanghai/361/2002
2004,SH,A/New Caledonia/20/99,A/Fujian/411/2002,B/Hong Kong/330/2001
2005,NH,A/New Caledonia/20/99,A/California/7/2004,B/Shanghai/361/2002
2005,SH,A/New Caledonia/20/99,A/Wellington/1/2004,B/Shanghai/361/2002
2006,NH,A/New Caledonia/20/99,A/Wisconsin/67/2005,B/Malaysia/2506/2004
2006,SH,A/New Caledonia/20/99,A/California/7/2004,B/Malaysia/2506/2004
2007,NH,A/New Caledonia/20/99,A/Wisconsin/67/2005,B/Malaysia/2506/2004
2007,SH,A/New Caledonia/20/99,A/Wisconsin/67/2005,B/Malaysia/2506/2004
2008,NH,A/Brisbane/59/2007,A/Brisbane/10/2007,B/Florida/4/2006
2008,SH,A/Brisbane/59/2007,A/Brisbane/10/2007,B/Florida/4/2006
2009,NH,A/Brisbane/59/2007,A/Brisbane/10/2007,B/Brisbane/60/2008
2009,SH,A/Brisbane/59/2007,A/Brisbane/10/2007,B/Brisbane/60/2008
2010,NH,A/California/7/2009,A/Perth/16/2009,B/Brisbane/60/2008
2010,SH,A/California/7/2009,A/Perth/16/2009,B/Brisbane/60/2008
2011,NH,A/California/7/2009,A/Perth/16/2009,B/Brisbane/60/2008
2011,SH,A/California/7/2009,A/Perth/16/2009,B/Brisbane/60/2008
2012,NH,A/California/7/2009,A/Victoria/361/2011,B/Wisconsin/1/2010
2012,SH,A/California/7/2009,A/Perth/16/2009,B/Brisbane/60/2008
2013,NH,A/California/7/2009,A/Victoria/361/2011,B/Massachusetts/2/2012
2013,SH,A/California/7/2009,A/Victoria/361/2011,B/Wisconsin/1/2010
2014,NH,A/California/7/2009,A/Texas/50/2012,B/Massachusetts/2/2012
2014,SH,A/California/7/2009,A/Texas/50/2012,B/Massachusetts/2/2012
2015,NH,A/California/7/2009,A/Switzerland/9715293/2013,B/Phuket/3073/2013
2015,SH,A/California/7/2009,A/Switzerland/9715293/2013,B/Phuket/3073/2013
2016,NH,A/California/7/2009,A/Hong Kong/4801/2014,B/Brisbane/60/2008
2016,SH,A/California/7/2009,A/Hong Kong/4801/2014,B/Brisbane/60/2008
2017,NH,A/Michigan/45/2015,A/Hong Kong/4801/2014,B/Brisbane/60/2008
2017,SH,A/Michigan/45/2015,A/Hong Kong/4801/2014,B/Brisbane/60/2008
2018,NH,A/Michigan/45/2015,A/Singapore/INFIMH-16-0019/2016,B/Colorado/06/2017
2018,SH,A/Michigan/45/2015,A/Singapore/INFIMH-16-0019/2016,B/Phuket/3073/2013
2019,NH,A/Brisbane/02/2018,A/Kansas/14/2017,B/Colorado/06/2017
2019,SH,A/Michigan/45/2015,A/Switzerland/8060/2017,B/Colorado/06/2017
2020,NH,A/Guangdong-Maonan/SWL1536/2019,A/Hong Kong/2671/2019,B/Washington/02/2019
2020,SH,A/Brisbane/02/2018,A/South Australia/34/2019,B/Washington/02/2019
2021,NH,A/Victoria/2570/2019,A/Cambodia/e0826360/2020,B/Washington/02/2019
2021,SH,A/Victoria/2570/2019,A/Hong Kong/2671/2019,B/Washington/02/2019
2022,NH,A/Victoria/2570/2019,A/Darwin/9/2021,B/Austria/1359417/2021
2022,SH,A/Victoria/2570/2019,A/Perth/16/2009,B/Washington/02/2019
2023,NH,A/Victoria/4897/2022,A/Darwin/9/2021,B/Austria/1359417/2021
2023,SH,A/Victoria/4897/2022,A/Darwin/9/2021,B/Austria/1359417/2021
2024,NH,A/Victoria/4897/2022,A/Thailand/8/2022,B/Austria/1359417/2021
2024,SH,A/Victoria/4897/2022,A/Thailand/8/2022,B/Austria/1359417/2021
2025,NH,A/Victoria/4897/2022,A/Croatia/10136RV/2023,B/Austria/1359417/2021
2025,SH,A/Victoria/4897/2022,A/Croatia/10136RV/2023,B/Austria/1359417/2021
2026,NH,A/Missouri/11/2025,A/Darwin/1454/2025,B/Tokyo/EIS13-175/2025
2026,SH,A/Missouri/11/2025,A/Singapore/GP20238/2024,B/Austria/1359417/2021
