"COUNTRY_CODE","HEMISPHERE","ISO_WEEK","ISO_YEAR","flu_year","AH1N12009","AH1","AH3","AH5","AH7N9","BVIC_2DEL","BVIC_3DEL","BVIC_NODEL","BVIC_DELUNK","BYAM","vaccine_H1N1","vaccine_H3N2","vaccine_B_trivalent"
"AZE","NH",47,2015,"2015-2016",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Switzerland/9715293/2013","B/Phuket/3073/2013"
"BRA","SH",25,2009,"2009-2010",85,0,1,0,NA,NA,NA,0,NA,0,"A/Brisbane/59/2007","A/Brisbane/10/2007","B/Brisbane/60/2008"
"HRV","NH",7,2014,"2014-2015",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Texas/50/2012","B/Massachusetts/2/2012"
"PHL","NH",3,2004,"2004-2005",NA,0,0,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Fujian/411/2002","B/Shanghai/361/2002"
"NPL","NH",7,2024,"2024",52,NA,0,NA,NA,NA,NA,13,NA,NA,"A/Victoria/4897/2022","A/Thailand/8/2022","B/Austria/1359417/2021"
"SWE","NH",33,2020,"2020-2021",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Guangdong-Maonan/SWL1536/2019","A/Hong Kong/2671/2019","B/Washington/02/2019"
"CHL","SH",21,2015,"2015-2016",NA,NA,1,NA,NA,NA,NA,NA,NA,4,"A/California/7/2009","A/Switzerland/9715293/2013","B/Phuket/3073/2013"
"CHN","NH",46,2018,"2018-2019",264,NA,30,0,0,NA,NA,3,NA,7,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"MDA","NH",2,2018,"2018-2019",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"SVN","NH",43,2009,"2009-2010",18,0,0,NA,NA,NA,NA,0,NA,0,"A/Brisbane/59/2007","A/Brisbane/10/2007","B/Brisbane/60/2008"
"UGA","NH",19,2007,"2007",NA,0,0,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Wisconsin/67/2005","B/Malaysia/2506/2004"
"CHE","NH",45,2023,"2023-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A/Victoria/4897/2022","A/Darwin/9/2021","B/Austria/1359417/2021"
"CHN","NH",42,2017,"2017-2018",24,NA,612,0,0,NA,NA,35,NA,128,"A/Michigan/45/2015","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"FRA","NH",21,2001,"2001-2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Moscow/10/99","B/Sichuan/379/99"
"HRV","NH",10,1997,"1997-1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAK","NH",41,2013,"2013",0,0,0,0,NA,NA,NA,5,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Massachusetts/2/2012"
"RWA","SH",11,2014,"2014-2015",0,0,2,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Texas/50/2012","B/Massachusetts/2/2012"
"ARG","SH",5,2000,"2000-2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Moscow/10/99","B/Shangdong/7/97"
"IND","NH",41,2000,"2000",NA,0,0,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Moscow/10/99","B/Beijing/184/93"
"PRT","NH",16,2016,"2016-2017",4,0,1,NA,NA,NA,NA,3,NA,1,"A/California/7/2009","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"SVK","NH",11,2018,"2018-2019",1,0,0,NA,NA,NA,NA,0,NA,6,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"USA","NH",35,2018,"2018-2019",10,NA,6,NA,NA,NA,NA,0,NA,2,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"DOM","NH",15,2014,"2014-2015",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Texas/50/2012","B/Massachusetts/2/2012"
"CUB","NH",25,2015,"2015-2016",11,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Switzerland/9715293/2013","B/Phuket/3073/2013"
"DNK","NH",17,2018,"2018-2019",6,0,12,NA,NA,NA,NA,0,NA,3,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"KEN","NH",32,2008,"2008",NA,0,9,NA,NA,NA,NA,0,NA,7,"A/Brisbane/59/2007","A/Brisbane/10/2007","B/Florida/4/2006"
"EST","NH",17,2023,"2023-2024",0,NA,0,NA,NA,NA,NA,5,NA,0,"A/Victoria/4897/2022","A/Darwin/9/2021","B/Austria/1359417/2021"
"GTM","NH",17,2023,"2023-2024",1,0,1,NA,NA,0,0,1,1,0,"A/Victoria/4897/2022","A/Darwin/9/2021","B/Austria/1359417/2021"
"NCL","SH",28,2017,"2017-2018",0,NA,0,0,0,NA,NA,0,NA,1,"A/Michigan/45/2015","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"X10","NH",34,2015,"2015-2016",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Switzerland/9715293/2013","B/Phuket/3073/2013"
"GUF","NH",12,2012,"2012-2013",4,0,0,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Wisconsin/1/2010"
"VNM","NH",34,2010,"2010-2011",1,NA,52,NA,NA,NA,NA,NA,NA,NA,"A/California/7/2009","A/Perth/16/2009","B/Brisbane/60/2008"
"JAM","NH",36,2021,"2021-2022",0,0,0,NA,NA,0,0,0,0,0,"A/Victoria/2570/2019","A/Cambodia/e0826360/2020","B/Washington/02/2019"
"RUS","NH",5,2024,"2024-2025",1,NA,904,NA,NA,NA,NA,NA,NA,NA,"A/Victoria/4897/2022","A/Thailand/8/2022","B/Austria/1359417/2021"
"SVN","NH",51,2023,"2023-2024",3,NA,5,0,NA,NA,NA,1,NA,0,"A/Victoria/4897/2022","A/Darwin/9/2021","B/Austria/1359417/2021"
"BEL","NH",30,2021,"2021-2022",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Cambodia/e0826360/2020","B/Washington/02/2019"
"TUN","NH",47,2014,"2014-2015",0,0,0,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Texas/50/2012","B/Massachusetts/2/2012"
"TGO","NH",8,2015,"2015-2016",0,0,0,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Switzerland/9715293/2013","B/Phuket/3073/2013"
"TUR","NH",27,2013,"2013-2014",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Massachusetts/2/2012"
"ISR","NH",35,2009,"2009-2010",196,0,0,NA,NA,NA,NA,0,NA,0,"A/Brisbane/59/2007","A/Brisbane/10/2007","B/Brisbane/60/2008"
"PRT","NH",1,2024,"2024-2025",218,NA,6,0,NA,NA,NA,0,NA,0,"A/Victoria/4897/2022","A/Thailand/8/2022","B/Austria/1359417/2021"
"PHL","NH",28,2004,"2004-2005",NA,4,0,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Fujian/411/2002","B/Shanghai/361/2002"
"ISR","NH",23,2022,"2022-2023",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Darwin/9/2021","B/Austria/1359417/2021"
"KOR","NH",4,2010,"2010-2011",89,0,0,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Perth/16/2009","B/Brisbane/60/2008"
"LVA","NH",8,2007,"2007-2008",NA,0,18,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Wisconsin/67/2005","B/Malaysia/2506/2004"
"MEX","NH",14,2021,"2021-2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A/Victoria/2570/2019","A/Cambodia/e0826360/2020","B/Washington/02/2019"
"TUR","NH",27,2009,"2009-2010",10,0,0,0,NA,NA,NA,0,NA,0,"A/Brisbane/59/2007","A/Brisbane/10/2007","B/Brisbane/60/2008"
"USA","NH",33,2018,"2018-2019",5,NA,9,NA,NA,NA,NA,0,NA,2,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"BLR","NH",8,2021,"2021-2022",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Cambodia/e0826360/2020","B/Washington/02/2019"
"ECU","SH",50,2021,"2021-2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A/Victoria/2570/2019","A/Hong Kong/2671/2019","B/Washington/02/2019"
"CHL","SH",19,2018,"2018-2019",NA,NA,12,NA,NA,NA,NA,NA,NA,2,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Phuket/3073/2013"
"CHE","NH",40,2018,"2018-2019",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"CYP","NH",1,2016,"2016-2017",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"IRL","NH",25,2009,"2009-2010",16,2,5,NA,NA,NA,NA,0,NA,0,"A/Brisbane/59/2007","A/Brisbane/10/2007","B/Brisbane/60/2008"
"FIN","NH",46,2019,"2019-2020",1,0,0,NA,NA,NA,NA,1,NA,0,"A/Brisbane/02/2018","A/Kansas/14/2017","B/Colorado/06/2017"
"KGZ","NH",43,2012,"2012-2013",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Wisconsin/1/2010"
"KGZ","NH",6,2014,"2014-2015",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Texas/50/2012","B/Massachusetts/2/2012"
"IRQ","NH",2,2015,"2015-2016",1,0,0,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Switzerland/9715293/2013","B/Phuket/3073/2013"
"KAZ","NH",16,2014,"2014-2015",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Texas/50/2012","B/Massachusetts/2/2012"
"LTU","NH",31,2018,"2018-2019",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"LUX","NH",50,2023,"2023-2024",8,NA,1,NA,NA,NA,NA,NA,NA,NA,"A/Victoria/4897/2022","A/Darwin/9/2021","B/Austria/1359417/2021"
"THA","NH",37,2009,"2009-2010",24,0,1,0,NA,NA,NA,0,NA,0,"A/Brisbane/59/2007","A/Brisbane/10/2007","B/Brisbane/60/2008"
"BRB","NH",4,2016,"2016-2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A/California/7/2009","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"ZAF","SH",42,2010,"2010-2011",10,0,2,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Perth/16/2009","B/Brisbane/60/2008"
"BRA","SH",17,2024,"2024-2025",15,0,12,NA,NA,0,0,0,0,0,"A/Victoria/4897/2022","A/Thailand/8/2022","B/Austria/1359417/2021"
"COL","NH",49,2014,"2014-2015",2,0,8,NA,NA,NA,NA,2,NA,3,"A/California/7/2009","A/Texas/50/2012","B/Massachusetts/2/2012"
"FIN","NH",45,2010,"2010-2011",0,0,0,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Perth/16/2009","B/Brisbane/60/2008"
"NOR","NH",42,2018,"2018-2019",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"SEN","NH",9,2005,"2005",NA,0,0,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/California/7/2004","B/Shanghai/361/2002"
"CHN","NH",49,2022,"2022-2023",NA,NA,400,NA,NA,NA,NA,2,NA,NA,"A/Victoria/2570/2019","A/Darwin/9/2021","B/Austria/1359417/2021"
"EGY","NH",16,2020,"2020-2021",0,NA,2,0,0,NA,NA,0,NA,0,"A/Guangdong-Maonan/SWL1536/2019","A/Hong Kong/2671/2019","B/Washington/02/2019"
"GUF","NH",40,2017,"2017-2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A/Michigan/45/2015","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"KHM","NH",33,2006,"2006-2007",0,0,0,0,NA,NA,NA,0,NA,0,"A/New Caledonia/20/99","A/Wisconsin/67/2005","B/Malaysia/2506/2004"
"SEN","NH",41,2019,"2019",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,"A/Brisbane/02/2018","A/Kansas/14/2017","B/Colorado/06/2017"
"AUS","SH",7,2006,"2006-2007",NA,0,0,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/California/7/2004","B/Malaysia/2506/2004"
"COL","NH",34,2002,"2002-2003",NA,1,0,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Moscow/10/99","B/Hong Kong/330/2001"
