flu_season,country,subtype,domain,variable_name,denominator,estimate,lower_bound,upper_bound,units,notes,source_system,citation,url
2010–11,United States,All influenza,testing_detection,flu_specimens_count,All specimens,246128,,,count,,WHO/NREVSS collaborating laboratories,"CDC. (2011). Update: Influenza activity — United States, 2010–11 season, and composition of the 2011–12 influenza vaccine. MMWR, 60(21), 705–712.",https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6021a5.htm
2010–11,United States,All influenza,testing_detection,flu_test_positivity,All specimens,22,,,percent,"54,226 positives among 246,128 specimens.",WHO/NREVSS collaborating laboratories,"CDC. (2011). Update: Influenza activity — United States, 2010–11 season, and composition of the 2011–12 influenza vaccine. MMWR, 60(21), 705–712.",https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6021a5.htm
2010–11,United States,Influenza A,testing_detection,share_of_flu_a,Positive specimens,74,,,percent,"40,282 influenza A viruses among 54,226 positives.",WHO/NREVSS collaborating laboratories,"CDC. (2011). Update: Influenza activity — United States, 2010–11 season, and composition of the 2011–12 influenza vaccine. MMWR, 60(21), 705–712.",https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6021a5.htm
2010–11,United States,Influenza B,testing_detection,share_of_flu_b,Positive specimens,26,,,percent,"13,944 influenza B viruses among 54,226 positives.",WHO/NREVSS collaborating laboratories,"CDC. (2011). Update: Influenza activity — United States, 2010–11 season, and composition of the 2011–12 influenza vaccine. MMWR, 60(21), 705–712.",https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6021a5.htm
2010–11,United States,Influenza A,testing_detection,share_of_a_subtyped,Influenza A positives,71,,,percent,"28,545 of 40,282 influenza A viruses were subtyped.",WHO/NREVSS collaborating laboratories,"CDC. (2011). Update: Influenza activity — United States, 2010–11 season, and composition of the 2011–12 influenza vaccine. MMWR, 60(21), 705–712.",https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6021a5.htm
2010–11,United States,A(H3N2),testing_detection,share_of_h3n2,Subtyped influenza A,62,,,percent,"17,599 A(H3N2) among 28,545 subtyped A viruses.",WHO/NREVSS collaborating laboratories,"CDC. (2011). Update: Influenza activity — United States, 2010–11 season, and composition of the 2011–12 influenza vaccine. MMWR, 60(21), 705–712.",https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6021a5.htm
2010–11,United States,A(H1N1)pdm09,testing_detection,share_of_pdm09,Subtyped influenza A,38,,,percent,"10,946 A(H1N1)pdm09 among 28,545 subtyped A viruses.",WHO/NREVSS collaborating laboratories,"CDC. (2011). Update: Influenza activity — United States, 2010–11 season, and composition of the 2011–12 influenza vaccine. MMWR, 60(21), 705–712.",https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6021a5.htm
2010–11 to 2022–23,United States,All influenza,testing_detection,molecular_assay_use_change,Hospitalized patients,,67.5,94.1,percent,Molecular assay use increased from 67.5% in 2010–11 to 94.1% in 2022–23.,FluSurv-NET,"Naquin, A., O’Halloran, A., Ujamaa, D., et al. (2024). Laboratory-confirmed influenza-associated hospitalizations among children and adults — Influenza Hospitalization Surveillance Network, United States, 2010–2023. MMWR Surveillance Summaries, 73(SS-6), 1–18.",https://www.cdc.gov/mmwr/volumes/73/ss/ss7306a1.htm
2010–11 to 2022–23,United States,All influenza,testing_detection,rapid_antigen_test_use_change,Hospitalized patients,,6.1,46.2,percent,Rapid antigen test use decreased from 46.2% in 2010–11 to 6.1% in 2022–23.,FluSurv-NET,"Naquin, A., O’Halloran, A., Ujamaa, D., et al. (2024). Laboratory-confirmed influenza-associated hospitalizations among children and adults — Influenza Hospitalization Surveillance Network, United States, 2010–2023. MMWR Surveillance Summaries, 73(SS-6), 1–18.",https://www.cdc.gov/mmwr/volumes/73/ss/ss7306a1.htm
2010–11,United States,A(H3N2),dominant_subtype_or_pattern,,,,,,,Co-circulation; B viruses 40–49% in early Nov–Dec,CDC annual influenza activity summary / MMWR,"CDC. (2010). Influenza activity — United States, 2010–11 season and vaccine composition report.",https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6021a5.htm
