flu_year,country,population_or_age_group,subtype,VE_outcome,VE_estimate_pct,VE_low_pct,VE_high_pct,setting_or_network,citation,url
2004-05,United States,All ages,All influenza,Outpatient medically attended influenza illness,10,-36,40,WI,CDC. (2026). Past seasons' vaccine effectiveness estimates. Centers for Disease Control and Prevention.,https://www.cdc.gov/flu-vaccines-work/php/effectiveness-studies/past-seasons-estimates.html
2005-06,United States,All ages,All influenza,Outpatient medically attended influenza illness,21,-52,59,WI,CDC. (2026). Past seasons' vaccine effectiveness estimates. Centers for Disease Control and Prevention.,https://www.cdc.gov/flu-vaccines-work/php/effectiveness-studies/past-seasons-estimates.html
2006-07,United States,All ages,All influenza,Outpatient medically attended influenza illness,52,22,70,WI,CDC. (2026). Past seasons' vaccine effectiveness estimates. Centers for Disease Control and Prevention.,https://www.cdc.gov/flu-vaccines-work/php/effectiveness-studies/past-seasons-estimates.html
2007-08,United States,All ages,All influenza,Outpatient medically attended influenza illness,37,22,49,WI,CDC. (2026). Past seasons' vaccine effectiveness estimates. Centers for Disease Control and Prevention.,https://www.cdc.gov/flu-vaccines-work/php/effectiveness-studies/past-seasons-estimates.html
2008-09,United States,All ages,All influenza,Outpatient medically attended influenza illness,41,30,50,"WI, MI, NY, TN",CDC. (2026). Past seasons' vaccine effectiveness estimates. Centers for Disease Control and Prevention.,https://www.cdc.gov/flu-vaccines-work/php/effectiveness-studies/past-seasons-estimates.html
2009-10,United States,All ages,All influenza,Outpatient medically attended influenza illness,56,23,75,"WI, MI, NY, TN",CDC. (2026). Past seasons' vaccine effectiveness estimates. Centers for Disease Control and Prevention.,https://www.cdc.gov/flu-vaccines-work/php/effectiveness-studies/past-seasons-estimates.html
2010-11,United States,All ages,All influenza,Outpatient medically attended influenza illness,60,53,66,"WI, MI, NY, TN",CDC. (2026). Past seasons' vaccine effectiveness estimates. Centers for Disease Control and Prevention.,https://www.cdc.gov/flu-vaccines-work/php/effectiveness-studies/past-seasons-estimates.html
2011-12,United States,All ages,All influenza,Outpatient medically attended influenza illness,47,36,56,"WI, MI, PA, TX, WA",CDC. (2026). Past seasons' vaccine effectiveness estimates. Centers for Disease Control and Prevention.,https://www.cdc.gov/flu-vaccines-work/php/effectiveness-studies/past-seasons-estimates.html
2012-13,United States,All ages,All influenza,Outpatient medically attended influenza illness,49,43,55,"WI, MI, PA, TX, WA",CDC. (2026). Past seasons' vaccine effectiveness estimates. Centers for Disease Control and Prevention.,https://www.cdc.gov/flu-vaccines-work/php/effectiveness-studies/past-seasons-estimates.html
2013-14,United States,All ages,All influenza,Outpatient medically attended influenza illness,52,44,59,"WI, MI, PA, TX, WA",CDC. (2026). Past seasons' vaccine effectiveness estimates. Centers for Disease Control and Prevention.,https://www.cdc.gov/flu-vaccines-work/php/effectiveness-studies/past-seasons-estimates.html
